english term	urdu equivalent	suggestions only
parallel lines	مماثلت، مماثل لکیر	
parallel port	متوزی راہ	
parallelogram law	متوازی الاضلاع: سمتیوں کا متوازی الاضلاع	
parallelepiped, hexagonal; rectangular	مسدسی متوازی السطوح، مستطیلی متوازی السطوح	 
parameter	مقدار معلوم	 
parametric curve	منحنی مقدار معلوم	
parametric representation, parametric form	مقدار معلوم روپ	
parametrization	مقدار معلوم روپ کا حصول	
parasitic	غیر مطلوب	
Parseval's theorem	مسئلہ پارسیوال	
partial differential equations: elliptic, parabolic, hyperbolic	بیضوی، قطع مکافی اور قطع زائد جزوی تفرقی مساوات	
partial fraction	جزوی کسر	
partial fraction expansion	جزوی کسری پھیلاو	
partial fractions: method of partial fractions	جزوی کسری ترکیب	
partial sum	جزوی مجموعہ	
particular solution	مخصوص حل	
partition: the partition, partitions	خانے بنانا، خانہ یا خانے، خانہ بندی	
partition norm	خانہ بندی کا معیار	
Pascal triangle	پاسکل تکون	
passive component, active component eg resistor, transistor	غیر عامل جزو، عامل جزو، عامل پرزہ، غیر عامل پرزہ	
passive sign convention	انفعالی رائج سمت	
password	خفیہ لفظ، سم سم،  کھل جا سم سم	
patent	سند ایجاد	
path	راہ	
path: independent of path	راہ سے آزاد	راہ سے بے نیاز
pattern	طرز	
pattern: primary, secondary (antenna)	انفرادی نقش، قطاری نقش	
Pauli spin matrices (Wolgang Ernst Pauli)	ولگنگ ارنسٹ پالی، پالی قالب چکر	
peak	چوٹی	
pendulum	لٹکن	رقاص
percentile	صدویہ	
perfect square	مکمل چکور	
perform	سرانجام دینا	
perigee	حضیض	
perihelion	حضیض شمس	
periodic, aperiodic, periodicity	دوری، غیر دوری، دوریت	
period: time period	دوری عرصہ	
periodic motion	دوری حرکت	
perimeter	محیط	
permeability, relative permeability	مقناطیسی مستقل، اضافی مقناطیسی مستقل	مقناطیسی مستقل
permitivity, relative permitivity	برقی مستقل، اضافی برقی مستقل	 
perpendicular, drop a perpendicular	عمودی، عمود گرانا	
perpendicular axis theorem	مسئلہ عمودی محور	
perturbation	خلل	اضطراب
pH (acidity)	طاقت ہائیڈروجن	
pharmaceutical	دوا ساز	
pharmacist	دوا ساز	
phase	زاویاتی دور، زاویائی فرق	 
phase: single phase and three phase system	یک دوری، تین دوری نظام	
phase angle	زاویائی فاصلہ	
phase constant, attenuation constant (waves)	زاویائی مستقل، تقلیلی مستقل	
phase current, phase voltage	دوری دباو، دوری رو	
phase difference	زاویائی فرق	 
phase plane, phase diagram, phase plane representation	سطح مرحلہ، شکل مرحلہ، سطح مرحلہ اشکال	
phase velocity, group velocity	دوری رفتار، مجموعی رفتار	
phase voltage, phase current	دوری برقی دباؤ، دوری برقی رو	
phase: in phase: when angles are equal	ہم زاویہ	
phase: out of phase: when angles are not equal	الگ زاویہ ہونا	
phase point	زاویائی نقطہ	
phase portrait (maths)	پیکر مرحلہ	
phasor	دوری سمتیہ	 
phillip ludwig von seidel	فلپ لڈوگ ون زائڈل	
photon	فوٹان، ضیائی ذرہ	نوریہ
photosynthesis	ضیائی تالیف	
Picard’s method  (french pronunciation)	ترکیب پکاغ	
Picard: Charles Emile Picard (french pronunciation)	شاغل مل پکاغ	
piecewise continuous	ٹکڑوں میں استمراری	
piecewise defined function	ٹکڑوں میں معین تفاعل	
Pierre de Fermat	پیئغ د فغما	
piezoelectric crystal	داب برقی قلم	
pin, pins	پنیا، پنیے	
pipe	نالی، نل	
piston	بوکا	
pivot	چول	
pivot point (interpolation)	چول قیمت	
pivotal coefficient	چول عددی سر	
pivotal equation	چول مساوات	
PLA	قابلِ تشکیل اینڈ اور آر جوڑ کے منتقی ترکیبی دور	
plan: sampling plan	منصوبہ: نمونی منصوبہ	
Planck's constant	مستقل پلانک	
plane curve	مستوی منحنی	
plane; plane wave	مستوی موج	
plane: infinite plane, infinite surface	لامحدود وسعت کی سطح	لامحدود وسعت کا مستوی اور سطح
plane line, plane surface	سیدھی لکیر، سیدھی سطح	مستوی لکیر، مستوی سطح
plane (surface)	مسطح (سطح)	dr anees rasheed khan
planar sheet	مسطح چادر	
planet	سیارہ، سیارات	
planimeter	سطح پیما	
plausible	بظاہر معقول	
Pluto	پلوٹو	
point:dotted line	نقطہ دار لکیر	
point: interior, left endpoint, right endpoint,exterior point	اندرونی نقطہ، دائیں سر نقطہ، بائیں سر نقطہ، بیرونی نقطہ	
point:starting point, criticize, points of discussion	ابتدائی نقطہ، نکتہ چینی، نکات	
Poisson integral formula, Simeon Denis Poisson	پوسوں تکملی کلیہ؛ سمیوں دنی پوسوں	
polar, non polar	قطبی، غیر قطبی	
polar coordinates	قطبی محدد	
polar representation, polar form	قطبی روپ	
Polarization: wave polarization, linear, elliptic and circular	تقطیب: تقطیب موج، خطی، بیضوی، دائری تقطیب	
pole, poles	قطب، قطبین	
Pole-zero plot	ترسیم قطبین و صفر	
pollution, (pollutant)	آلودگی، (نجاست)	
polished, to polish	چمکدار، چمکدار بنانا	
polygon	کثیر الاضلاع	
Polynomial	کثیر رکنی	
population	آبادی	
position	مقام، درجہ، صورت، حالت، انداز، جگہ	
position: extreme position	انتہائی مقام	
position vector, function	تعین گر سمتیہ، تفاعل	
positional	مقام کے متعلق	
positioner	مقام  متعین کرنے والا	
positron	ضد برقیہ	
Postulate (matric)	اصول موضوعہ	
potential	مخفی قوہ	مخفیہ
potential: complex potential	مخلوط مخفی قوہ	
Potential: potential theory	نظریہ مخفی قوہ	
potential energy	مخفی توانائی	
powder	برادہ	
power	طاقت	
power function (testing hypothesis, maths)	تفاعل طاقت	
power relation of complex, real and reactive: S=P+jQ		
power:complex S, real P, reactive Q, apparent abs(S)	مخلوط، حقیقی، متعاملی اور ظاہری	
power units:complex=VA, real=Watt, reactive=var		
power amplifier	قوی ایمپلی فائر	
power electronics	طاقت سنبھالنے والی الیکٹرانکس،  پُرطاقت الیکٹرانکس، قوی الیکٹرانکس	
power factor correction	درستگی جزو طاقت؛ جزو طاقت کی درستگی	
power factor, power factor angle	طاقت کا جُزو ضربی، جُزو ضربی طاقت، طاقت کے جُزو ضربی کا زاویہ	changed from this
power factor	جزو طاقت	to this
power factor angle	زاویہ جزو طاقت	
power loss	ضیاع طاقت	
power plant	بجلی گھر	
power series	طاقتی سلسلہ	
power supply	برقی طاقت کی سپلائی	
power supply. AC, DC	یک سمت منبع، بدلتا منبع	
power triangle (electric circuits)	طاقتی تکون	
poynting vector, John Henry Poynting	پوئنٹنگ سمتیہ، جان ہنری پوئنٹنگ	
practically	عملی طور پر، عملاً	
preamplifier	ابتدائی ایمپلی فائر	
precise definition	باضابطہ تعریف	
precisely: more precisely	یہ کہنا زیادہ درست ہو گا کہ	
precisely one	واحد ایک	
Predictor-corrector method	پیش گو، مصحح ترکیب	
prescribed	معینہ	
preset, clear	زبر دستی بلند، زبر دستی پست	
pressure: one atmospheric	ایک کرہ ہوائی دباو	
price	نرخ	
primary, secondary side	ابتدائی جانب، ثانوی جانب	
prime factor, prime factors	جزو مفرد، اجزاء مفرد	
prime mover	اصل محرک	
prime number	عدد مفرد	
principal axis, principal part	صدر محور، صدر حصہ	
principal value, principal unit normal vector	صدر قیمت، صدر اکائی عمودی سمتیہ	
principle	صدر قیمت، صدر اکائی عمودی سمتیہ	
prism	منشور	
prism: temporal prism	وقتی منشور	
probability: conditional probability	مشروط احتمال	
probability distribution	تقسیم احتمال	
probability function	تفاعل احتمال	
probability; probability theory	احتمال، نظریہ احتمال	matric, male
problem: dirichlet problem	معمہ: معمہ ڈرشلے	
procedure	حکمت عملی، طریقہ کار	
process	عمل، ترکیب	
producer	پیداکار	
production; power production, current production,voltage production	پیداوار، پیداوار طاقت، پیداوار رو، پیداوار دباو	
production process	عمل پیداوار	
program	لائحہ کار	
program, programmer, programming	برنامہ، برنامہ نوایس، برنامہ نویسی	
programmable: (reconfigurable, writable) CPLDs, FPGAs	قابلِ تشکیل	
progression: arithmetic progression (matric)	حسابی تصاعد	matric
projected area	ضلی رقبہ (میٹرک)	
projection	عمودی سایہ	
projectile, projectile motion	گولا، حرکت گولا	گول انداز، حرکت گول انداز
propagation: propagation of waves	موجوں کی اشاعت	
Propagation constant, attenuation constant &  phase constant of waves	حرکی مستقل، تضعیفی مستقل اور زاویائی مستقل	
propagation delay (gates DLD)	دورانیہ ردِ عمل	
propeller (of plane)	پنکھا	
proper and improper fraction	واجب، غیر واجب کسر matric	
proper integral, improper integral (having infinite interval)	مناسب تکمل، غیر مناسب تکمل	
property, properties	خاصیت، خواص	
proportion	تناسب	
proportional directly	 راست متناسب، تغیر راست	
proportion: direct, inverse	تغیر راست، تغیر معکوس	
proportional indirectly: reciprocal	بالعکس متناسب	
proportionality constant	تناسبی مستقل	
prove	ثابت کرنا	
provided that	بشرطیکہ	
pulley	چرخا	
pulse	دھڑکن	
pulse	مستطیلی پتلا اشارہ	
pure imaginary	خالص خیالی	
pyramid	اہرام	
pythagorous theorem	مسئلہ فیثاغورث	
quadratic equation	دو درجی الجبرائی مساوات	 
quadrant, quadrants	ربع اول، ربع دوم، ربع سوم، ربع چہارم، ربعات	
quadrature power (electric circuits)	تربیعی طاقت	
quadric surfaces	مربع سطحیں	
quadrilateral	چار الاضلاع	چار ضلعی
qualitative assessment	کیفی تجزیہ	
quality control	ضبط معیار	
quality factor Q (resonator)	معیاری مستقل	
quality: acceptable quality level, rejectable quality level	سطح قابل قبول معیار، سطح قابل مسترد معیار	
quality: average outgoing quality	اوسط خارجی معیار	
quality:average outgoing quality limit	اوسط خارجی حد معیار	
quantitative assesment	مقداری تجزیہ	
quantum mechanical: particle theory	ذراتی نظریہ: کوانٹم نظریہ	
Quarter-wave matching (transmission lines)	چوتھائی طول موج کی ترکیب، چوتھائی طول موج سے ہم رکاوٹ بنانا	
quartic	چو درجی	
quartz	کوارٹز، سنگ مردہ	
quasilinear	بظاہر خطی	
Quotient (maths)	حاصل تقسیم، خارج قاسم	
radar	ریڈار	
radial segment, segments	رداسی قطعہ، قطعات	
radian	ریڈیئن	
radiation (from antenna)	اشعاعی اخراج، شعاعی اخراج	
radiation intensity (antenna)	اخراجی شدت	
radiation resistance (antenna)	اخراجی مزاحمت	
radiation(nuclear)	تابکاری	
radiation: solar radiation	شمسی اخراج	
radicand	زیر جذر (رقم)	
radioactive decay, radioactive	تابکاری تحلیل، تابکار	
radium, radon, polonium	ریڈیم، ریڈان،پولونیم	
radius	رداس	
RAM: volatile memory	عارضہ حافظہ	
random; drawn at random	بلا منصوبہ	بلا منصوبہ (matric)
random number generator	پیدا کار بلا منصوبہ اعداد	
Range (of domain)	سعت	سعت kreyzig-5 page 970 top
range: wide range, narrow range	وسیع حد، محدود حد	
range finder	فاصلہ پیما	
range (of helicopter)	پہنچ	
range of projectile	گولے کا فاصلہ مار	
rank	درجہ قالب، درجہ	
rarefaction	پھیلاؤ کی موج	
rated power, rated voltage, rated current	 کُل طاقت، کُل برقی دباؤ، کُل برقی رو	
rate constant	شرحی مستقل	
rating	سکت	
ratio	نسبت	
Rational , irrational number	ناطق، غیر ناطق عدد	
rational function, irrational function	معقول تفاعل، غیر معقول تفاعل	ناطق، غیر ناطق
ray	شعاع	
Rayleigh equation; (John William Strut)	ریلے مساوات؛ جان ولیم سٹرٹ	
Reactance X, reactive	متعاملیت، متعاملی	
reactance: inductive, capacitive	امالی متعاملیت، برق گیر متعاملیت	
reactance coil	متعامل لچھا، متعاملہ	
reactive power: quadrature power 	متعاملی طاقت: تربیعی طاقت	
real: (read complex number above)	حقیقی	
real time, real time computing	فوری، فوری حساب	
rearrangement	ردوبدل	
receiver	وصول کنندہ	
receiving antenna	وصولی اینٹینا	
reciprocal	بالعکس متناسب، باہمی، باہم	مقلوب، منقلب
reciprocal rule	قاعدہ بالعکس متناسب	
record	قلم بند	
rectangular form: of writing complex numbers=3+j2	مستطیلی طرز	
rectangular wave	مستطیل موج	
rectifiable (curve, maths)	قابل تصحیح	
rectifier, half wave and full wave	نصف لہر سمت کار، مکمل لہر سمت کار	
rectify (to correct the situation)	سدھارنا	
rectilinear motion	مستقیم حرکت	
recursion formula	کلیہ توالی	
recursion: Osian Bonnet's recursion	اوسیاں بونٹ	
recursive definition	تکراری تعریف	
reduce, reducible, irreducible	تخفیف، قابل تخفیف، ناقابل تخفیف	
reduced (maths: order of diff equation)	تخفیف شدہ	
reduction by integrating factor (to exact form)	تخفیف بذریعہ جزو تکمل	
reference frame, frame of reference	حوالہ چھوکٹ	
reference, reference point	حوالہ، علامت حوالہ	
reference standard	حوالہ معیار	
reflected wave	انعکاسی موج	
reflection	انعکاس	
reflection coefficient, transmission coefficient	شرح انعکاس، انعکاسی مستقل، ترسیلی مستقل	
reflector	عاکس	
refraction	انعطاف	
refractive index	انعطافی مستقل	
refraction law: ibn Sahl's law of refraction	ابن سھل کا قانون انعطاف	
refrigerator	سرد خانہ	
region	خطہ، دائرہ عمل	
region: rejection, acceptance, critical	خطہ منظوری، خطہ نا منظوری، خطہ فاصل	
register	رجسٹر، کھاتا	
Register: shift left, shift right	دائیں منتقل، بائیں منتقل کھاتا	
Regression, regression analysis, regression line	 رجعت، رجعی تجزیہ، خط رجعت	
regular	منظم	
regular singularity, irregular singularity	منظم نادر نقطہ، غیر منظم نادر نقطہ	
regular point (maths)	منظم نقطہ	
reject, not reject	نا منظور، منظور	
rejection region	خطہ نا منظوری	
relative	متعلقہ، نسبتا	
relative density, relative error, relative frequency	کثافتِ اضافی، اضافی غلطی، اضافی ارتعاش	
relative frequency, relative humidity	اضافی ارتعاش، اضافی رطُوبت	
relative magnitudes, relative motion	اضافی مقادیر، اضافی حرکت، اضافی رفتار	
relative position, relative rank,	اوضاع اضافیہ، اضافی عہدہ	
relaxation method	ترکیب ڈھیل	
reluctance	 ہچکچاہٹ	
remainder (series), remainder term	باقی، جزو باقی	
remainder estimation theorem	مسئلہ اندازہ باقی	
remark	رائے زنی، رائے	
remarkable	قابل ذکر	
remote temperature sensor (antenna)	بعید پیما حرارت	
repair	مرمت	
repeat, repeated term	دہرانا، دہرا جزو	used for binary too but should not conflict
representation	روپ، اظہار	
represent, representation	پیش کرنا، ظاہر کرنا، اظہار، روپ، بیان	
representation of equation	مساوات کا روپ	
representative rectangle	نمائندہ مستطیل	
repulsion: force of repulsion	قوت دفع	
residual flux	بقایا بہاو	
residual temperature (big bang)	بقیہ حرارت	
residue (residue integrals)	بقیہ	
resistance, AC, DC	یک سمت رو مزاحمت، بدلتا رو مزاحمت	
Resistance R, conductance G=1/R	مزاحمت، ایصالیت	
resistance: radiation resistance (antenna)	اخراجی مزاحمت	
resistivity	قوتِ مزاحمت، مزاحمتی مستقل	
resolve	تحلیل کرنا	
resonance	گمک	
resonant circuit, resonant frequency	گمکی دور، گمکی تعدد	
resonance factor (maths)	گمکی جزو	
resonator	گمکیا	
respective	متعلقہ	
response	ردِ عمل	
response time	رد عمل کے اظہار میں خرچ ہونے والا وقت	
restoring force	بحال کن قوت، بحالی قوت	
restrictive	امتناعی	
restricted, unrestricted	پابند، غیر پابند، پابند شدہ	
result	نتیجہ	
resultant	ما حصل	
retarded potentials	تاخیری دباو	
retina	پردہ بصارت، آنکھ پردہ	
revenue, profit, cost, interest	آمدنی، منافع، لاگت، ربا یا سود	
revolving	طواف	
Richard Dedekind (german pronunciation)	رشارت  دےدےکند	
Richter scale (Charles Francis Richter)	چارلس فرانسس رکٹر	
Riemann: Bernhard Riemann	برنہارڈ ریمان	
Riemann number sphere	ریمان کرہ اعداد	
right angle: cuts line  at right angle	زاویہ قائمہ پر قطع کرتی ہے	
right triangle	قائمہ الزاویہ مثلث	
Right-sided test	دایاں طرفہ پرکھ	
ripple (DC supply)	بل	
ripple counter	لہر نما دہری گنتی کرنے والا دور	
rise, fall	اوپر اٹھتا، نیچے گرتا؛ اٹھتا بیٹھتا، اتار، چھڑاو	
risk	خطرہ مولنا، خطر	
risk: producer's risk, consumer's risk	خطر پیداکار، خطر خریدار	
rising edge, falling edge, rise time, fall time, propagation time	کنارہِ چڑھائی، کنارہِ اترائی، دورانیہ اترائی، دورانیہ چڑھائی، دورانیہ ردِ عمل	
rocket	راکٹ	
Rockwell hardness	راک ویل سختی	
Rodrigues: Benjamin Olinde Rodrigues	بنجامن اولانڈے روڈریگیس	
rods, cones:eye	سلاخ، مخروطے، مخروط	
Rolle's theorem; Michel Rolle	مسئلہ رول؛ مشل رول	
rolling motion	لڑھکاؤ	
ROM: non-volatile memory	پختہ حافظہ	
root: square root, cube root, fourth root	جذر المربع، جذر الکعب، جذر المال	
roots of equation (in urdu it is jazar)	مساوات کے جذر	
root mean square rms	موثر قیمت	
Ronald Aylmer Fisher	رونلڈ ایلمر فشر	
rotate	گھومنا	
rotating	گھومنا	
rotational axis	گھومنے کا محور	
rotor	حرکت پذیر، گھومنے والا حصہ	
round off, rounding	پور و پور؛ اوپر کو پور و پور، نیچے کو پور و پور	یا اوپر کو پورا کرنا، نیچے کو پورا کرنا
rounding error	پوروپور خلل	
row equivalent	صف برابر	
row (matrix)	صف	
rubber band	ربڑی پٹی	
rule, rules	قاعدہ، قواعد	
rule: right hand rule, left hand rule	دائیں ہاتھ قاعدہ، بائیں ہاتھ قاعدہ	
Runge-Kutta method	ترکیب رنج کوٹا	
Runge-Kutta:Wilhelm Kutta	ولہلم کوٹا	
Runge-Kutta: Carl Runge	کارل رنج	
rupee	روپیہ	
Saddle point, stationary point	ساکن نقطہ، نقطہ زین	
safe	محفوظ	
salient pole	ابھرے قطب اور ہموار قطب	
same	ایک جیسی	
Sample  [Model]	نمونہ [حسابی نمونہ]	
sample distribution function	تقسیمی تفاعل نمونہ	
sample space	نمونی فضا	
sample values	نمونی قیمتیں	
sampling: acceptance sampling	قبولیت نمونہ	
sampling plan: single sampling plan, double sampling plan	نمونی منصوبہ، واحد نمونی منصوبہ، دوہرا نمونی منصوبہ	
sampling property	خاصیت نمونہ بندی	
sampling	نمونہ بندی	
sampling	آواز کو عددی طور پر ضبط کرنے کا عمل	
sandwich theorem	مسئلہ بیچ	
satellite	مصنوعی سیارہ	
satellites: sputnik, vanguard, syncom, skylab, tiros,GOES,intelsat		
satellites: proton, viking,	پروٹان، وائکنگ	
satisfied	مطمئن	
saturation region: transistor	غیر-افزائندہ حال	
saturate	سیراب ہونا، لبریز ہونا 	
saturated	سیراب، لبریز 	
Saturn planet	زحل	
saw tooth	آری کے دندے	
saw tooth wave	دندان موج	
scalar	غیر سمتی مقدار	
scalar triple product, mixed triple product	غیر سمتی سہ ضرب	
scale	پیمانہ	
scale: change of scale	پیمائشی فیتہ میں ردوبدل، درجہ وار پیمانہ	پیمانہ میں تبدیلی
Scale: log-log scale	پیمائش: لاگ لاگ پیمائش، ناپ	لاگ لاگ پیمانہ
scaling, row scaling	تبدیلی پیما، تبدیلی پیما صف	تبدیلی پیمانہ، تبدیلی پیمانہ صف
scatter	فشاں؟	
scope	دائرہ گفتگو	
scot (of scotland)	اسکاچی	
screw gauge	پیچی پیما	
sealer (water resistant)	مسالہ (پن روک)	
secondary side	ثانوی جانب	
sector	حلقہ	 
seesaw	ہنڈولا	
seldom	شاذ و نادر	
selection	چناؤ، انتخاب، مختص کرنا	
self flux linkage	خود اِرتَباطِ رو	
self inductance	خود امالہ	
self excited DC machine	داخلی ہیجان شدہ یک سمتی مشین	
semi	نیم	
semiconductors	نیم موصل اشیاء	
Semi-infinite region	نیم لامحدود خطہ	
Semi-log, log-log axis	نیم لاگ، لاگ لاگ محور	
Sense: broader sense	وسیع معنوں میں	
sense: positive sense of curve (maths) (also called positive direction)	منحنی کی مثبت دائری سمت (مثبت سمت)	مثبت دائری سمت (مثبت سمت)
sensitive	حساس	
sensitivity	حساسیت، اثر پذیری	
separable equation (ordinary differential equations)	قابل علیحدگی مساوات	
separately excited DC machine	بیرونی ہیجان یک سمتی مشین، خارجی ہیجان شدہ	
separation constant	علیحدگی مستقل	
separation of variables (differential equations)	علیحدگی متغیرات	
sequence	مرحلہ	
sequence: abc, acb, red blue green	ترتیب	
sequential circuits	ترتیبی ادوار	
sequential search and binary search	ترتیبی اور ثنائی  تلاش	
Sergeil L'vovich Sobolev (Russian mathematician)	سرگی لووچ سوبولو	
serial port	سلسلہ وار راہ	
Series Maclaurin	مکلارن تسلسل	
series	سلسلا وار	
series, power series	طاقتی سلسلہ	
series winding	سلسلہ وار لچھا	
set: set x=3	ایکس=3 لیں	
set: is set at 20 celcius	بیس درجہ پر مقرر ہے	
set closure	بندش سلسلہ	بندش مجموع
set (maths), linearly independent set, subset	سلسلہ، خطی طور غیر تابع سلسلہ، ذیلی سلسلہ	مجموع، خطی طور غیر تابع سلسلہ، ذیلی سلسلہ
set (maths) dimension	بُعد	
set, reset	راغب، غیر راغب	
set: solution set, null set, nullity	سلسلہ حل، معدوم سلسلہ، معدومیت	
set, (sets)	مجموع، (مجامع)	 
set, subset	سلسلہ، ذیلی سلسلہ	ذیلی مجموع
set theory	نظریہ سلسلہ	نظریہ مجموع
several	ایک سے زائد	
shaded	سائے دار	
shaft	دُھرا	
shape	شکل	
shearing force	جزی قوت	
shell	مدار	
shell	خول	
shield, to shield, shielded, electrostatic shielding	سپر، سپر کرنا، سپر شدہ، برقی سکونی سپر	میٹرک
shielded wire, unshielded: faraday shield	فیراڈے پردہ، بے پردہ تار، پردے میں تار	
shift	سرک جانا، منتقل ہو جانا	
shifted: time shifted unit step function	وقتی منقولہ اکائی سیڑھی تفاعل	
shift left, shift right, serial shift, parallel shift	دائیں منتقلی، بائیں منتقلی، سلسلہ وار منتقلی، متوازی منتقلی	
short circuit	قصرِ دور: وہ نسبتا کم مزاحمت والا بغلی دور جو زیادہ مزاحمت والے برقی دور کے دو نقطوں کر درمیان بن جاتا ہے	
side: primary side, secondary side	جانب، طرف: ابتدائی جانب، ثانوی جانب	
side (of triangle or square)	ضلع	
Siemens	سیمنز	
Sign +, -, /, *	علامت	 
sign convention	علاماتی قاعدے	
signed, unsigned number	علامت دار عدد، بے علامت عدد	
signal	سگنل	
signal generator	پیدا کارِ اشارات	
significant: higher highest significant bit, lower lowest significant bit	بلند رتبہ والا دہرا عدد، بلند تر رتبہ والا ہندسہ، کم رتبہ، کم تر رتبہ والا ہندسہ	بامعنی اعظم دہرا عدد، بامعنی اقل دہرا عدد
significant digits  (number representation)	معنی خیز ہندسے	ملحوظ ہندسے
significant digits  (number representation)	بامعنی ہندسے	ملحوظ ہندسے
significant deviation	معنی خیز انحراف	بامعنی انحراف
significant level	معنی خیز سطح	بامعنی سطح
silver	چاندی	
simplification	تسہیل	
Simpson rule: Thomas Simpsom	قاعدہ سمسن	
simultaneous correction	بیک وقت اصلاح	
sine, cosine, tangent	سائن، کوسائن، ٹینجنٹ	
sine, sine integral, complementary sine integral	سائن، سائن تکمل، متمم سائن تکمل	 
single valued	واحد قیمت	
singular	نادر	
singular point; regular singularity, irregular singularity	منظم نادر نقطہ، غیر منظم نادر نقطہ	
singular solution (differential equations), singular matrix	نادر حل، نادر قالب	
singularity (function having no differential  eg. Step, impulse,  black hole)	نادر تفاعل	 
singularity, essential singularity	ندرت، لازمی ندرت	 
sink, current sink	خارج کار برقی رو	گڑھا، گڑھا رو
sinusoidal wave	سائن نما موج	
size (indian matric maths)	پیمائش	
skin depth	گہرائی جلد	
similar triangles, similarity, similarity transformation	متشابہ مثلثات، متشابہت، متشابہت تبادلہ	
simply connected (region, maths)	سادہ تعلق (والا خطہ)	
simulation	نقل اتارنا	
simultaneous equations	ہمزاد مساوات	
skate, ice skate	پھسلن، برف پھسلن	؟؟
sketch	خاکہ بنانا	
skew matrix	منحرف قالب	
skewness	ترچھاپن	
slice	کتلا	ٹکیہ، ٹکیاں
slip	سرک	
slip knot, slip noose	سرک گرہ، سرک پھندا	
slip ring	سرک چھلا	
slipping	سرکنا	
slope	شرح ڈھال	
slope fields	میدان ڈھلوان	
slot	شگاف	
slotted line	شگاف دار تار	
small quantities	متفرق (چھوٹی مدیں یا رقمیں)	
Smith chart	سمتھ نقشہ	
Smooth (a function is smooth at x0 if all its derivatives exist at x0)	ہموار	
smooth: piecewise smooth	ٹکڑوں میں ہموار	
smooth surface	ہموار سطح	
snail	گھونگا	
Snell's law,  ibn Sahl's law of refraction	سنیل کا قانون، ابن سھل کا قانون انحراف	
snow flakes (Helge von koch)	برفانی روئی، برف کی روئی (ہلگے ون کوچ)	
snubber (power electronics: RC snubber)	چپٹی کار	
socket: electrical	ساکٹ	
software, hardware	سافٹ وئیر	نرم افزار، سخت افزار
solar panel	شمسی چادر	
solid angle, beam solid angle (antenna)	ٹھوس زاویہ، ٹھوس زاویہ نقش	
solid of revolution	جسم طواف	
solutions: particular solution, complimentary solution, general solution	جبری حل، فطری حل، عمومی حل	مخصوص حل، فطری حل، عمومی حل
solution curve	منحنی حل	
solution family	نسلِ حل	
solution series	تسلسل حل	
solution set	سلسلہ حل	
solution space	حل فضا	
solution vector	حل سمتیہ	
solution (of liquids)	محلول	
solve	حل کرنا	
sonic boom	صوتی دھماکا	
source: dependent & independent voltage source	تابع منبع دباو، غیر تابع منبع دباو	
source: dependent & independent current source	تابع اور غیر تابع منبع رو	
source, sink	مثبت منبع، منفی منبع	منبع، گڑھا
source transformation theorem: norton to thevenin	مسئلہ تبادلہ منبع	
source:voltage source, voltage supply	منبع برقی دباو، منبع دباو	
source: current sink	خارج کار منبع رو	گڑھا رو
source: current source	داخل کار منبع رو	منبع رو
source	منبع، وسیلہ	
source, current source	منبع برقی رو، منبع رو	
south pole	جنوبی قطب	
space: null space (maths)	معدوم فضا	
space, row space, column space (set, maths)	فضا، صف فضا، قطار فضا	
space: solution space	حل فضا	
span (set, maths)	احاطہ	
spark	چنگاری، شعلہ	
sparse matrix	غیر گنجان قالب	
space curve	فضائی منحنی	میٹرک
special	مخصوص	
special functions or higher functions (maths)	اعلٰی تفاعل	
specification	تخصیص	
spectral packet	شعاعی پٹی	
spectrometer	طیف پیما	
spectrum	طیف	
spectrum: amplitude spectrum, phase spectrum	مقداری طیف، زاویائی ہٹاو طیف	
spectrum: discrete line spectrum	انفرادی لکیری طیف	غیر مسلسل طیف، غیر مسلسل طیفی لکیریں
spectral radius	رداس طیف	
speedometer	رفتار پیما	
sphere	کرہ۔کرہ ارض	
spherical angle	کروی زاویہ	
spherical co-ordinate system	کروی نظامِ محدد	
spherical curve	کروی منحنی	
spherical harmonic analysis	کروی ہارمونی تجزیہ	
spherically	کرّے کے طور پر	
spin (quantum )	خلقی گھماو	
spin	گھومنا، گھماو	
spin field (calculus last chapter)	چکری میدان	
spin: up spin, down spin (quantum)	چکر، اوپر چکر، نیچے چکر	ہمہ میدان، مخالف میدان بھی کہہ سکتے ہیں
spiral, helical	پیچ دار	
spline; modern term is flexible curve	لچکدار منحنی	
spring; spring constant (modulus of elasticity)	اسپرنگ؛ اسپرنگ مستقلہ، (مقیاس لچک)	
square	مربع	
square: completing the square	تکمیل مربع۔ مربع مکمل کرنا	
square root	جذر	
square wave	چکور موج	
squirrel cage	پنجرہ نما	
stability	توازن	استحکام
stable, unstable	مستحکم، استحکام، غیر مستحکم	
stable, unstable	مستحکم، متوازن، مضبوط، پائیدار، نا پائیدار	متوازن
stable: keep stable	قابو رکھنا، قابو کرنا	
stage: three stage adder	درجہ: درجہ تین جمع کرنے والا دور	
standing wave ratio (s)	شرح ساکن موج	
standard deviation	معیاری انحراف	matric
Standard: standard form (of differential equation)	معیار، معیاری: معیاری حالت یا صورت یا شکل	
standard rule	رواج، رائج طریقہ	
star connected: Y-connected, Delta connected	ستارا نما جُڑے، تکونی جُڑے یا تکون نما جُڑے	
state vector	سمتیہ حال	
stationary point, saddle point	ساکن نقطہ	
statistics, statistician	شماریات۔ ماہر شماریات	
statistics: order statistics	شماریات رجحان	
stator	ساکن حصہ	
